CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,5040X,Libramiento CUN
10CAN,Yucatan,50429,Hacienda Opichen MID
10CAN,Yucatan,5042B,Huayacan CUN
10CAN,Yucatan,50434,El Perico CUN
10CAN,Yucatan,50449,Guayacan MID
10CAN,Yucatan,5046J,Allende MID
10CAN,Yucatan,5049G,Tame MID
10CAN,Yucatan,5049P,Kabax CUN
10CAN,Yucatan,504AX,Gas Seybano MID
10CAN,Yucatan,504BE,Anahuac MID
10CAN,Yucatan,504BR,Quetzal CUN
10CAN,Yucatan,504CW,Conchal CUN
10CAN,Yucatan,504E5,Banka CUN
10CAN,Yucatan,504E6,Omega CUN
10CAN,Yucatan,504EO,Capibara CUN
10CAN,Yucatan,504FY,Kerigma MID
10CAN,Yucatan,504GS,Galeana MID
10CAN,Yucatan,504M8,Chiabal CUN
10CAN,Yucatan,504NH,Jacintos MID
10CAN,Yucatan,504QL,Plus CUN
10CAN,Yucatan,504R5,Villas Cholul MID
10CAN,Yucatan,504T9,Azuna CUN
10CAN,Yucatan,504TY,Mirova CUN
10CAN,Yucatan,504UA,Dzidzantun CUN
10CAN,Yucatan,504UX,Grosella CUN
10CAN,Yucatan,504VQ,Gaviotas MDA
10CAN,Yucatan,504XY,Kanle CUN
10CAN,Yucatan,5050A,Sur CUN
10CAN,Yucatan,50518,Villitas CUN
10CAN,Yucatan,5051C,La Playa CUN
10CAN,Yucatan,5053F,Muna CUN
10CAN,Yucatan,50545,Muyil CUN
10CAN,Yucatan,50567,Plaza Universidad MID
10CAN,Yucatan,50569,Mareas CUN
10CAN,Yucatan,5058A,Padua MID
10CAN,Yucatan,5058B,Mulchechen MID
10CAN,Yucatan,5059R,Mandala MID
10CAN,Yucatan,505AF,Tenampa CUN
10CAN,Yucatan,505C6,Fragata CUN
10CAN,Yucatan,505D6,Ordaz CUN
10CAN,Yucatan,505DZ,Los Lirios MID
10CAN,Yucatan,505GK,Gas Montejo MDA
10CAN,Yucatan,505H8,Hunucma Centro MID
10CAN,Yucatan,505II,Ganzos CUN
10CAN,Yucatan,505J3,Parque Central CUN
10CAN,Yucatan,505JD,Zama Tower CUN
10CAN,Yucatan,505KG,Herradura CUN
10CAN,Yucatan,505KV,Kaan CUN
10CAN,Yucatan,505L8,Salmon CUN
10CAN,Yucatan,505LJ,Ramonal CUN
10CAN,Yucatan,505M1,Zafiro MID
10CAN,Yucatan,505M7,Periferico Tizimin MID
10CAN,Yucatan,505MM,Lina CUN
10CAN,Yucatan,505MP,Frailes CUN
10CAN,Yucatan,505N5,Del Paseo CUN
10CAN,Yucatan,505NN,San Francisco MID
10CAN,Yucatan,505RO,Mocambo CUN
10CAN,Yucatan,505SJ,Martinez Ross CUN
10CAN,Yucatan,505TX,Santa Teresa MID
10CAN,Yucatan,505V7,Forum CUN
10CAN,Yucatan,505V9,Las Nubes MID
10CAN,Yucatan,505VF,ALUX MID
10CAN,Yucatan,505VX,Ilusion CUN
10CAN,Yucatan,505W4,Ciruelos CUN
10CAN,Yucatan,505XF,Bombon CUN
10CAN,Yucatan,505XV,Muray CUN
10CAN,Yucatan,505Z1,Montebello MID
10CAN,Yucatan,505ZN,Caobas CUN
10CAN,Yucatan,505ZV,Buenavista MID
10CAN,Yucatan,5061C,Mar Caribe CUN
10CAN,Yucatan,5061V,Primera CUN
10CAN,Yucatan,5062M,Cabo CUN
10CAN,Yucatan,5062U,Yaxkin CUN
