CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10GUD,Jalisco,5005X,Tonala Pinar GDL
10GUD,Jalisco,5006A,Farias Gomez GDL
10GUD,Jalisco,5007B,Tepic lagos del Country GDL
10GUD,Jalisco,5007E,Victoria GDL
10GUD,Jalisco,5008Q,Tepic Proyecto GUD
10GUD,Jalisco,5009L,Vista Lago GDL
10GUD,Jalisco,5009X,Chapala Ferro GDL
10GUD,Jalisco,500AF,Tres Encinos GDL
10GUD,Jalisco,500CD,Zamora Ocampos GDL
10GUD,Jalisco,500D9,Pegaso GDL
10GUD,Jalisco,500DW,Cuitzeo Zapata GDL
10GUD,Jalisco,500E4,Congreso GDL
10GUD,Jalisco,500EW,Zapotlanejo Crucero GDL
10GUD,Jalisco,500FB,Charales GDL
10GUD,Jalisco,500GM,Valle Imperial GDL
10GUD,Jalisco,500GS,Trigo   GDL
10GUD,Jalisco,500GV,Hacienda Copala GDL
10GUD,Jalisco,500HC,Jacinto GDL
10GUD,Jalisco,500I5,Fray Angelico GDL
10GUD,Jalisco,500JC,Sahuayo Industrial GDL
10GUD,Jalisco,500JV,Cortijo La Esperanza GDL
10GUD,Jalisco,500L8,Luna Del Bosque GDL
10GUD,Jalisco,500LF,Colinas de Tonala GDL
10GUD,Jalisco,500M1,Tequila Vial GDL
10GUD,Jalisco,500N6,JUAN ZUBARAN
10GUD,Jalisco,500NY,Mojonera GDL
10GUD,Jalisco,500QB,Atoyac GDL
10GUD,Jalisco,500SW,Reforma Zacoalco GDL
10GUD,Jalisco,500TW,Gas Zapo Libre GDL
10GUD,Jalisco,500UK,El Rosarito GDL
10GUD,Jalisco,500UL,Eustolia GDL
10GUD,Jalisco,500VL,Cadetes GDL
10GUD,Jalisco,500XH,Zapata GDL
10GUD,Jalisco,500Y4,Tecolotlan Hotel
10GUD,Jalisco,500YF,Glorieta Bola GDL
10GUD,Jalisco,5010C,Tepic El Roble GDL
10GUD,Jalisco,5010Q,Montenegro GDL
10GUD,Jalisco,5011U,La Moraleja GDL
10GUD,Jalisco,5012E,Zamora Tebas GDL
10GUD,Jalisco,5013C,Amarilla GDL
10GUD,Jalisco,5014O,Loreto GDL
10GUD,Jalisco,5015C,Gallo Azul GDL
10GUD,Jalisco,5016A,Carpinteros GDL
10GUD,Jalisco,5016P,Ramon Madero GDL
10GUD,Jalisco,50177,Tanhuato GDL
10GUD,Jalisco,5017E,Isla Zanzibar GDL
10GUD,Jalisco,5018A,Cortijo GDL
10GUD,Jalisco,50190,Gas Colon Sur GDL
10GUD,Jalisco,5019D,Filadelfia GDL
10GUD,Jalisco,501A0,Lafayette GDL
10GUD,Jalisco,501AA,Valdez GDL
10GUD,Jalisco,501AE,San Jose de Gracia CLA
10GUD,Jalisco,501DB,Casa Ejidal CLA
10GUD,Jalisco,501DI,Parque Amarillo GDL
10GUD,Jalisco,501DV,Penjamillo GDL
10GUD,Jalisco,501F1,Capital Street GDL
10GUD,Jalisco,501H1,Jiquilpan la Selva GDL
10GUD,Jalisco,501HG,Aviones GDL
10GUD,Jalisco,501J8,Hotel One GDL
10GUD,Jalisco,501JX,Zamora Jericó GDL
10GUD,Jalisco,501L7,Fontana Diamante GDL
10GUD,Jalisco,501LR,Valle de Zacoalco GDL
10GUD,Jalisco,501ON,Santa Maria GDL
10GUD,Jalisco,501QY,CR Disponible
10GUD,Jalisco,501R7,Periferico Poniente GDL
10GUD,Jalisco,501SK,La Manzanilla CLA
10GUD,Jalisco,501TP,Siqueiros CLA
10GUD,Jalisco,501V9,Acueducto GDL
10GUD,Jalisco,501VH,Aurora Towers GDL
10GUD,Jalisco,501YK,UAG ICB GDL
10GUD,Jalisco,5022B,Miguel Orozco GDL
10GUD,Jalisco,50231,Villa Corona Centro GDL
10GUD,Jalisco,5023A,Zamora Las Americas GDL
10GUD,Jalisco,5023X,Acuario GDL
10GUD,Jalisco,5025N,Jardines Del Bosque GDL
10GUD,Jalisco,5027U,Primavera GDL
10GUD,Jalisco,50281,Arrayanes GDL
10GUD,Jalisco,5028P,Dal Sur GDL
10GUD,Jalisco,5028V,Arandas Arteaga GDL
10GUD,Jalisco,50292,Octana Living GDL
10GUD,Jalisco,5029C,Tizapan Mexico GDL
10GUD,Jalisco,5029I,Banderas GDL
10GUD,Jalisco,502A6,Peritala GDL
10GUD,Jalisco,502AH,Paseos Del Sol GDL
10GUD,Jalisco,502AX,Buenos Aires GDL
10GUD,Jalisco,502BA,Lomas del Paraiso GDL
10GUD,Jalisco,502D2,Coral Cosala GDL
10GUD,Jalisco,502EG,Ingreso Betania GDL
10GUD,Jalisco,502EZ,Santiago los Corchos GDL
10GUD,Jalisco,502FN,Bosques Vallarta GDL
10GUD,Jalisco,502FY,Cholollan GDL
10GUD,Jalisco,502G4,Parques Tesistan GDL
10GUD,Jalisco,502G8,Gourmeteria GDL
10GUD,Jalisco,502GK,Capulin GSDL
10GUD,Jalisco,502H3,Altavista GDL
10GUD,Jalisco,502IG,Plaza Villas GDL
10GUD,Jalisco,502J1,Tepic Santiago Mexico GDL
10GUD,Jalisco,502JB,Kpertom las Torres GDL
10GUD,Jalisco,502JJ,Paraisos Tepeyac GDL
10GUD,Jalisco,502KF,Canada GDL
10GUD,Jalisco,502LG,Rodeo GDL
10GUD,Jalisco,502LJ,Francisco Clavijero GDL
10GUD,Jalisco,502MG,El Anima CLA
10GUD,Jalisco,502NH,La Haciendita GDL
10GUD,Jalisco,502O0,Hospital Ayala GDL
10GUD,Jalisco,502OJ,Tepic San Blas El Conchal GDL
10GUD,Jalisco,502OL,Parres Arias GDL
10GUD,Jalisco,502PV,Robles Gil GDL
10GUD,Jalisco,502SE,Morelos  GDL
10GUD,Jalisco,502SQ,Oriente Tonala GDL
10GUD,Jalisco,502SU,Zamora Paraiso  GDL
10GUD,Jalisco,502TB,Hda de Tala GDL
10GUD,Jalisco,502TX,Churintzio GDL
10GUD,Jalisco,502U4,San Nicolas De Ibarra GDL
10GUD,Jalisco,502UN,Mercado Campesino GDL
10GUD,Jalisco,502VA,Prive GDL
10GUD,Jalisco,502VL,Praderas GDL
10GUD,Jalisco,502XI,Tepic Plaza Antigua GDL
10GUD,Jalisco,502XV,Prados de la Canada
10GUD,Jalisco,502XW,Avenida Artesanos GDL
10GUD,Jalisco,502Y4,Vergel GDL
10GUD,Jalisco,502Y9,Vista California GDL
10GUD,Jalisco,502YZ,Crucero San Gabriel CLA
10GUD,Jalisco,502ZF,Dickens GDL
10GUD,Jalisco,502ZH,Colonial GDL
10GUD,Jalisco,5030J,Montes Urales GDL
10GUD,Jalisco,50312,Estipac GDL
10GUD,Jalisco,50318,Jardin Adamar GDL
10GUD,Jalisco,5032D,Ojeda CLA
10GUD,Jalisco,5032V,Iconia GDL
10GUD,Jalisco,5033X,Escudo GDL
10GUD,Jalisco,5034H,Potrero GDL
10GUD,Jalisco,50366,Tepic El Papalote GDL
10GUD,Jalisco,50368,Citala GDL
10GUD,Jalisco,5036C,Toscano GDL
10GUD,Jalisco,5037T,Artes Miravalle GDL
10GUD,Jalisco,5038V,La Santa GDL
10GUD,Jalisco,50391,Mazapan de la Rosa GDL
10GUD,Jalisco,503AT,Cutlajo GDL
10GUD,Jalisco,503C9,Alva GDL
10GUD,Jalisco,503CD,Ceibas GDL
10GUD,Jalisco,503D8,Pacana GDL
10GUD,Jalisco,503DE,Melchor Ocampo GDL
10GUD,Jalisco,503DN,Forum Rio Nilo
10GUD,Jalisco,503EI,Barrera GDL
10GUD,Jalisco,503EP,Los Fresnos GDL
10GUD,Jalisco,503EW,La Principal GDL
10GUD,Jalisco,503F8,Gas Tototlan II GDL
10GUD,Jalisco,503G0,Arandas Carranza GDL
10GUD,Jalisco,503G4,Emilio Carranza GDL
10GUD,Jalisco,503GE,Flores Boreales GDL
10GUD,Jalisco,503HB,Seccion Jalisco GDL
10GUD,Jalisco,503HI,Tepic Caoba GDL
10GUD,Jalisco,503I7,Ocotlan Serdan GDL
10GUD,Jalisco,503IB,Plaza Expiatorio GDL
10GUD,Jalisco,503JW,Lienzo El Arenal GDL
10GUD,Jalisco,503LI,Sendas GDL
10GUD,Jalisco,503LR,Caseta Vista Hermosa GDL
10GUD,Jalisco,503LZ,Estacion Del Mar GDL
10GUD,Jalisco,503M7,Mercurio GDL
10GUD,Jalisco,503MM,Campira GDL
10GUD,Jalisco,503NL,Cobre GDL
10GUD,Jalisco,503OI,Tepic Santiago Cereso GDL
10GUD,Jalisco,503RJ,Los Robles GDL
10GUD,Jalisco,503RL,Maguey GDL
10GUD,Jalisco,503RQ,Colonias GDL
10GUD,Jalisco,503TH,La Guadalupe CLA
10GUD,Jalisco,503TM,Tonala Mascota GDL
10GUD,Jalisco,503U2,Bugambilias Plaza GDL
10GUD,Jalisco,503UA,Tesitan Mall GDL
10GUD,Jalisco,503WB,Ganadera CLA
10GUD,Jalisco,503WF,Zamora al Vergel GDL
10GUD,Jalisco,503WG,Jose Vasconcelos CLA
10GUD,Jalisco,503XD,Santa Barbara GDL
10GUD,Jalisco,503YX,Zapotlanejo Santuario GDL
10GUD,Jalisco,503Z0,Estacion del Valle GDL
10GUD,Jalisco,503ZG,Valle Gonzalez GDL
10GUD,Jalisco,503ZM,Gas Carapan GDL
10GUD,Jalisco,50413,Reyes Flores GDL
10GUD,Jalisco,5041F,Lima GDL
10GUD,Jalisco,5042V,Fast El Salto GDL
10GUD,Jalisco,5042X,Arandas Torres GDL
10GUD,Jalisco,50441,San Gregorio GDL
10GUD,Jalisco,5045J,Paseo de los Parques GDL
10GUD,Jalisco,5045V,Neveria GUD
10GUD,Jalisco,50463,SANTA ISABEL GDL
10GUD,Jalisco,50464,Tepa Paseo de los Maestros GDL
10GUD,Jalisco,5047U,Manuel Alvarez GDL
10GUD,Jalisco,50484,Lirio GDL
10GUD,Jalisco,5048E,Jesus GDL
10GUD,Jalisco,5049D,Albaterra GDL
10GUD,Jalisco,5049W,La Reserva GDL
10GUD,Jalisco,504AY,Libramiento Sahuayo GDL
10GUD,Jalisco,504B7,Kpetrom Adolf GDL
10GUD,Jalisco,504BX,Plaza Cuervo GDL
10GUD,Jalisco,504CC,Jiquilpan Cuauhtemoc GDL
10GUD,Jalisco,504DS,Ocotlan Delgadillo GDL
10GUD,Jalisco,504EW,Acatic Ingreso GDL
10GUD,Jalisco,504FI,Prologis Ecopark GDL
10GUD,Jalisco,504FZ,Gomez Farias CLA
10GUD,Jalisco,504G0,Cibeles GDL
10GUD,Jalisco,504G9,Ixtlahuacan Crucero GDL
10GUD,Jalisco,504GU,Vallarta Bosques GDL
10GUD,Jalisco,504H9,Melquiades Campos GDL
10GUD,Jalisco,504HD,Bristoil San Gabriel GDL
10GUD,Jalisco,504II,Nuevo Mexico GDL
10GUD,Jalisco,504JZ,Living Americas GDL
10GUD,Jalisco,504L9,Acuna GDL
10GUD,Jalisco,504LP,Los Angeles GDL
10GUD,Jalisco,504NZ,El Tigre GDL
10GUD,Jalisco,504P2,Villa Diamante GDL
10GUD,Jalisco,504P8,San Agustin II
10GUD,Jalisco,504Q0,Pin GDL
10GUD,Jalisco,504QY,Anahuac Chapalita GDL
10GUD,Jalisco,504R1,Cantera GDL
10GUD,Jalisco,504RB,Glorieta las Fuentes GDL
10GUD,Jalisco,504SS,Rougier GDL
10GUD,Jalisco,504SU,Forum Rio Nilo GDL
10GUD,Jalisco,504TI,Cientificos GDL
10GUD,Jalisco,504TV,Lucio Blanco GDL
10GUD,Jalisco,504U0,Galia GDL
10GUD,Jalisco,504UG,Schumann GDL
10GUD,Jalisco,504UK,Esteban Alatorre GDL
10GUD,Jalisco,504UN,Federico del Toro CLA
10GUD,Jalisco,504US,Ingreso Ayotlan GDL
10GUD,Jalisco,504UW,Colotitlan CLA
10GUD,Jalisco,504V1,Plaza Celta GDL
10GUD,Jalisco,504VF,Cojumatlan GDL
10GUD,Jalisco,504W4,Parques del Castillo GDL
10GUD,Jalisco,504W8,Central Nueva GDL
10GUD,Jalisco,504X3,Jose Alvarez GDL
10GUD,Jalisco,50501,Jamay Centro GDL
10GUD,Jalisco,50519,Pila Seca GDL
10GUD,Jalisco,5053C,Bartolome GDL
10GUD,Jalisco,5053K,Zamora Juarez GDL
10GUD,Jalisco,5054G,Numaran Primero GDL
10GUD,Jalisco,5054K,Reyes Crucero GDL
10GUD,Jalisco,5056E,Tepa Espanita GDL
10GUD,Jalisco,5056L,San Joaquin GDL
10GUD,Jalisco,5056V,Fraccionamiento Revolucion GDL
10GUD,Jalisco,50570,Rey Zapotlan GDL
10GUD,Jalisco,50578,Tonala Puente GDL
10GUD,Jalisco,5057Y,Lopez Mateos GDL
10GUD,Jalisco,5058V,Mirador del Bosque GDL
10GUD,Jalisco,505CB,Maria Jose Living GDL
10GUD,Jalisco,505DH,Ceniceros GDL
10GUD,Jalisco,505F3,Palermo GDL
10GUD,Jalisco,505G2,CEDIS GDL
10GUD,Jalisco,505GR,Paseo del Fresno GDL
10GUD,Jalisco,505H0,Venustiano Moctezuma GDL
10GUD,Jalisco,505H3,Hotel Coxala GDL
10GUD,Jalisco,505IZ,El Refugio GDL
10GUD,Jalisco,505J1,Jardin Botanico GDL
10GUD,Jalisco,505KC,Granadillos GDL
10GUD,Jalisco,505KR,Alta California GDL
10GUD,Jalisco,505LG,Geiser de Ixtlan GDL
10GUD,Jalisco,505M8,Verdia Herrera GDL
10GUD,Jalisco,505PC,Parque Albereda GDL
10GUD,Jalisco,505RF,Angulo GDL
10GUD,Jalisco,505RL,T Park GDL
10GUD,Jalisco,505RY,Hacienda GDL
10GUD,Jalisco,505SO,Zamora Puerta Sur GDL
10GUD,Jalisco,505SU,Escutia GDL
10GUD,Jalisco,505T1,Cojumatlan Centro GDL
10GUD,Jalisco,505U6,La Barca Zalamea GDL
10GUD,Jalisco,505UX,Prados Tepeyac GDL
10GUD,Jalisco,505VJ,El Plan GDL
10GUD,Jalisco,505W2,Duque GDL
10GUD,Jalisco,505XS,Campo Azul GDL
10GUD,Jalisco,505YG,Techaluta Valle GDL
10GUD,Jalisco,505YJ,Prepa 20 GDL
10GUD,Jalisco,505YW,Zamora Pirul GDL
10GUD,Jalisco,505Z5,Puerta Ajijic GDL
10GUD,Jalisco,505ZY,Ingreso Tanhuato GDL
10GUD,Jalisco,5060D,Navegantes GDL
10GUD,Jalisco,5060G,La Aurora GDL
10GUD,Jalisco,5060Y,La Cima GDL
10GUD,Jalisco,50610,Ciudadela GDL
10GUD,Jalisco,50620,Degollado Gas GDL
10GUD,Jalisco,5062B,Sahuayo Morelos GDL
10GUD,Jalisco,5062K,Republica GDL
10GUD,Jalisco,5064D,Zacoalco Abasolo GDL
10GUD,Jalisco,5064F,La Primavera GDL
10GUD,Jalisco,5064T,Gas Las Venadas GDL
10GUD,Jalisco,5067S,Bajio GDL
10GUD,Jalisco,5068S,Ejido Concepcion
10GUD,Jalisco,50699,Vista Sur GDL
10GUD,Jalisco,5069S,Alazan GDL
10GUD,Jalisco,5069V,Zamora Los Romero GDL
10GUD,Jalisco,506A9,Casa Blanca GDL
10GUD,Jalisco,506AA,Cocula Centro GDL
10GUD,Jalisco,506AD,Oxxo Caporales GDL
10GUD,Jalisco,506AY,Tonala Reyes GDL
10GUD,Jalisco,506C6,Zamora Ocampos GDL
10GUD,Jalisco,506D2,Diaz Independencia GDL
10GUD,Jalisco,506DL,Joya Arias GDL
10GUD,Jalisco,506DO,Pronto Zalatitan GDL
10GUD,Jalisco,506DP,Quirin GDL
10GUD,Jalisco,506ER,Granja GDL
10GUD,Jalisco,506FD,Tepic Samao GDL
10GUD,Jalisco,506FE,Enrique Granados GDL
10GUD,Jalisco,506FI,Teatro GDL
10GUD,Jalisco,506GP,Montecarlo GDL
10GUD,Jalisco,506GT,Purepero Gas GDL
10GUD,Jalisco,506GZ,Tepic Santa Maria Del Oro Valle Verde GDL
10GUD,Jalisco,506HJ,Gas Amial GDL
10GUD,Jalisco,506HM,San nicolas GDL
10GUD,Jalisco,506IO,Tepic Km 100 GDL
10GUD,Jalisco,506IQ,Tangamandapio Centro GDL
10GUD,Jalisco,506JG,Cumbres del Cielo GDL
10GUD,Jalisco,506JM,Fontana Diamantes GDL
10GUD,Jalisco,506MU,Tepic Xalisco Pantanal GDL
10GUD,Jalisco,506NL,Benito GDL
10GUD,Jalisco,506OK,Tlatoani GDL
10GUD,Jalisco,506OR,La Via GDL
10GUD,Jalisco,506Q2,Zamora Michoacan GDL
10GUD,Jalisco,506QX,El Rosario GDL
10GUD,Jalisco,506RI,Eniti GDL
10GUD,Jalisco,506RL,San Jose De Gracia GDL
10GUD,Jalisco,506T3,Altus GDL
10GUD,Jalisco,506U0,Foret GDL
10GUD,Jalisco,506V2,Capilla GDL
10GUD,Jalisco,506W7,Indigenas GDL
10GUD,Jalisco,506WE,Colonia del Sol GDL
10GUD,Jalisco,506YD,El Pedregal GDL
10GUD,Jalisco,506YF,Administradores GDL
10GUD,Jalisco,506YS,Monte Atlas GDL
10GUD,Jalisco,5070D,Quetzalcoatl GDL
10GUD,Jalisco,5070K,Cuquio Ingreso GDL
10GUD,Jalisco,5070Z,Tapalpa Atacco GDL
10GUD,Jalisco,5071H,Kampus Industrial GDL
10GUD,Jalisco,50737,Tepic Santa Maria Del Oro El Refugio GDL
10GUD,Jalisco,5073L,Ceti Tonala GDL
10GUD,Jalisco,50747,Central Abastos GDL
10GUD,Jalisco,5075U,Tena Hidalgo GDL
10GUD,Jalisco,5077H,San  Isidro GDL
10GUD,Jalisco,5077Y,Zamora Industrial GDL
10GUD,Jalisco,5078W,Fidel Bacon GDL
10GUD,Jalisco,50794,Central Zapopan GDL
10GUD,Jalisco,507A3,Tepic Guadalajara GUD
10GUD,Jalisco,507AQ,Aztecas GDL
10GUD,Jalisco,507B9,Teocuitatlan GDL
10GUD,Jalisco,507BP,Gas Brisenas GDL
10GUD,Jalisco,507EH,Tepic Santiago Los Corchos GDL
10GUD,Jalisco,507ES,Arandas Agaves GDL
10GUD,Jalisco,507FM,Tepabril GDL
10GUD,Jalisco,507H0,Bolaños GDL
10GUD,Jalisco,507HJ,Ixtla GDL
10GUD,Jalisco,507HV,Parroquia Santa Maria GDL
10GUD,Jalisco,507J1,San Gaspar Inn
10GUD,Jalisco,507JN,Zamora Escutia
10GUD,Jalisco,507KR,Briseno GDL
10GUD,Jalisco,507L2,Granero GDL
10GUD,Jalisco,507N6,La Garita CLA
10GUD,Jalisco,507Q9,Baru GDL
10GUD,Jalisco,507QQ,Palos Altos GDL
10GUD,Jalisco,507RO,Ocotlan Figueroa GDL
10GUD,Jalisco,507S1,Estacion Copalita GDL
10GUD,Jalisco,507S6,Guadalupe Arandas GDL
10GUD,Jalisco,507T2,Teuchitlan Portales GDL
10GUD,Jalisco,507T6,Zamora Damaso GDL
10GUD,Jalisco,507VJ,Jamay Briseño GDL
10GUD,Jalisco,507VK,Lobby 33 GDL
10GUD,Jalisco,507WB,Martires Del Tesoro GDL
10GUD,Jalisco,507WG,Tepic San Juan II GDL
10GUD,Jalisco,507WO,Sahuayo Sagrado GDL
10GUD,Jalisco,507XK,Villa Plata GDL
10GUD,Jalisco,507XQ,Tepic P Sanchez GDL
10GUD,Jalisco,507YK,Jazmin GDL
10GUD,Jalisco,5080J,Arandas Madero GDL
10GUD,Jalisco,5081T,Tecomatlan GDL
10GUD,Jalisco,5082Q,Villas de Guadalupe GDL
10GUD,Jalisco,50835,Paseo de las Flores
10GUD,Jalisco,5084G,Independencia  GDL
10GUD,Jalisco,5084Y,Parques de la Victoria GDL
10GUD,Jalisco,5085A,Torre Lopez Cotilla GDL
10GUD,Jalisco,5085Z,Villas II GDL
10GUD,Jalisco,50878,Plaza del Sol Plazoleta GDL
10GUD,Jalisco,50881,Castillo de Chapultepec GDL
10GUD,Jalisco,50898,La Estacion GDL
10GUD,Jalisco,5089F,Chapala GDL
10GUD,Jalisco,5089X,Agua Escondida GDL
10GUD,Jalisco,508A3,Tchaikovski GDL
10GUD,Jalisco,508BU,Tepic Recinto Ferial
10GUD,Jalisco,508BW,Chapultepec NTE GDL
10GUD,Jalisco,508BY,Pedro Loza GDL
10GUD,Jalisco,508DZ,Acuatico GDL
10GUD,Jalisco,508EH,Epicentra GDL
10GUD,Jalisco,508F9,Calzada del Ejercito GDL
10GUD,Jalisco,508FZ,Zamora Almanza GDL
10GUD,Jalisco,508G4,La Loma GDL
10GUD,Jalisco,508GK,Chilchota GDL
10GUD,Jalisco,508H6,Atoto Los Naranjos GDL
10GUD,Jalisco,508HV,Jose Maria de la Vega GDL
10GUD,Jalisco,508I9,Alto Horizonte GDL
10GUD,Jalisco,508KP,Experiencia GDL
10GUD,Jalisco,508KY,Cima Serena GDL
10GUD,Jalisco,508M3,Lomas del 4 GDL
10GUD,Jalisco,508M8,Arandas El Capulin GDL
10GUD,Jalisco,508MN,Techaluta GDL
10GUD,Jalisco,508MO,Code Paradero GDL
10GUD,Jalisco,508OW,Las 9 esquinas GDL
10GUD,Jalisco,508P4,Mil 500 GDL
10GUD,Jalisco,508R9,Movil GDL
10GUD,Jalisco,508S5,Volcan Etna GDL
10GUD,Jalisco,508SF,Ambar GDL
10GUD,Jalisco,508SO,Maria Vigil GDL
10GUD,Jalisco,508ST,San Gilberto GDL
10GUD,Jalisco,508TR,Parque las Lomas GDL
10GUD,Jalisco,508TX,Estacion del Mar GDL
10GUD,Jalisco,508U0,Oyamel GDL
10GUD,Jalisco,508UP,Tren Norte GDL
10GUD,Jalisco,508VQ,Fresnos GDL
10GUD,Jalisco,508VX,San Francisco De Asis GDL
10GUD,Jalisco,508W0,Plaza Arboledas GDL
10GUD,Jalisco,508WM,Living Neruda GDL
10GUD,Jalisco,508WQ,El Encino CLA
10GUD,Jalisco,508WR,Orandino GDL
10GUD,Jalisco,508XX,Sabino GDL
10GUD,Jalisco,508Y0,G Tepa Arandas GDL
10GUD,Jalisco,508ZI,Prologis Los Altos GDL
10GUD,Jalisco,508ZM,Tepic Ruiz Centro GDL
10GUD,Jalisco,508ZQ,Portales Zacoalco GDL
10GUD,Jalisco,508ZY,Treboles GDL
10GUD,Jalisco,50901,Mesa Colorada GDL
10GUD,Jalisco,5090L,Campo Bello GDL
10GUD,Jalisco,5090W,Mar Caspio GDL
10GUD,Jalisco,5091Z,Tonala Matatlan GDL
10GUD,Jalisco,5092E,Tangamandapio GDL
10GUD,Jalisco,5092H,Ixtla
10GUD,Jalisco,5093N,Las Ramblas GDL
10GUD,Jalisco,5093X,Monraz GDL
10GUD,Jalisco,5094G,Lomas II GDL
10GUD,Jalisco,5094R,Usmajac CLA
10GUD,Jalisco,5094Z,UDG Tlajomulco GDL
10GUD,Jalisco,50952,Insurgentes GDL
10GUD,Jalisco,5095N,Francisco Lucas GDL
10GUD,Jalisco,5095X,Huescalapa Barra GDL
10GUD,Jalisco,50971,Sahuayo San Onofre GDL
10GUD,Jalisco,5097W,Sahuayo Jardines GDL
10GUD,Jalisco,5099W,Villas GDL
10GUD,Jalisco,509AE,Jiquilpan Gas GDL
10GUD,Jalisco,509D2,Altos Sur GDL
10GUD,Jalisco,509D8,Senderos GDL
10GUD,Jalisco,509EO,Parques Iteso GDL
10GUD,Jalisco,509GI,Paz Independencia GDL
10GUD,Jalisco,509GQ,Miramar GDL
10GUD,Jalisco,509GX,Nextipac GDL
10GUD,Jalisco,509HP,Betsayda GDL
10GUD,Jalisco,509I5,Pajacuaran GDL
10GUD,Jalisco,509ID,Riveras del Pilar GDL
10GUD,Jalisco,509IG,Del Sol GDL
10GUD,Jalisco,509IQ,Cananea GDL
10GUD,Jalisco,509J9,Santa Maria Corregidora GDL
10GUD,Jalisco,509JR,Aurora Boreal GDL
10GUD,Jalisco,509KA,Marina Ixtapa GUD
10GUD,Jalisco,509MA,Zapopan Plaza GDL
10GUD,Jalisco,509Q6,Rio Verde GDL
10GUD,Jalisco,509R8,Flex Norte
10GUD,Jalisco,509R9,Zamora Galeana GDL
10GUD,Jalisco,509RO,Pirul GDL
10GUD,Jalisco,509TI,Pajacuaran Centro GDL
10GUD,Jalisco,509TU,La Fresa GDL
10GUD,Jalisco,509U0,Gas Linda Vista GDL
10GUD,Jalisco,509U5,Hospital Zoquipan GDL
10GUD,Jalisco,509U8,Zamora Altamira GDL
10GUD,Jalisco,509UB,Tonala Malecon GDL
10GUD,Jalisco,509W7,Ebanistas GDL
10GUD,Jalisco,509WR,Tototlan Cuchilla GDL
10GUD,Jalisco,509ZF,Santa Lucia GDL
10GUD,Jalisco,50A07,Vista Bugambilias GDL
10GUD,Jalisco,50A08,Parajes CLA
10GUD,Jalisco,50A22,Arenal GDL
10GUD,Jalisco,50A4E,Toreros GDL
10GUD,Jalisco,50A4O,Sonajero CLA
10GUD,Jalisco,50A5D,Las Palmeras GDL
10GUD,Jalisco,50A6D,Mision Coyula GDL
10GUD,Jalisco,50A6W,Americas Acuna GDL
10GUD,Jalisco,50A78,Tepic Aticama GDL
10GUD,Jalisco,50A85,Margarita GDL
10GUD,Jalisco,50A87,Hermosa Provincia GDL
10GUD,Jalisco,50A8F,Tepa Salida GDL
10GUD,Jalisco,50A8H,Tepic ISSSTE GDL
10GUD,Jalisco,50A8P,Cantaros GUD
10GUD,Jalisco,50AAY,Agustin Yanez GDL
10GUD,Jalisco,50AB6,Jabil Green Point GDL
10GUD,Jalisco,50AD1,Granada HUD
10GUD,Jalisco,50AEZ,Tonala Galeana GDL
10GUD,Jalisco,50AFD,San M de las Flores GDL
10GUD,Jalisco,50AFT,El Salto II GDL
10GUD,Jalisco,50AGS,Aguilas GDL
10GUD,Jalisco,50AH4,Vista Hermosa Centro GDL
10GUD,Jalisco,50AH7,Pinto Torres GDL
10GUD,Jalisco,50AIG,Cubos GDL
10GUD,Jalisco,50AJS,Ajusco GDL
10GUD,Jalisco,50AL9,Justo Chapultepec GDL
10GUD,Jalisco,50ALB,Otero GDL
10GUD,Jalisco,50ALD,Alcalde GDL
10GUD,Jalisco,50AMG,Villas de Ote. GDL
10GUD,Jalisco,50AMM,Libre a Tonala GDL
10GUD,Jalisco,50AMU,Real Camichines I GDL
10GUD,Jalisco,50ANX,Ciudad Aztlan GDL
10GUD,Jalisco,50AOL,Lomas Altas GDL
10GUD,Jalisco,50APJ,San Pedro GDL
10GUD,Jalisco,50APT,Aeropuerto II GDL
10GUD,Jalisco,50AQ0,Alvarez Coronel GDL
10GUD,Jalisco,50AQ7,Zamora El Rosal GDL
10GUD,Jalisco,50AQN,Aquiles Serdan GDL
10GUD,Jalisco,50AQV,Agaves II GDL
10GUD,Jalisco,50AQY,Tonala Centro GDL
10GUD,Jalisco,50AQZ,Atequiza GDL
10GUD,Jalisco,50ARB,Arboledas GDL
10GUD,Jalisco,50ARC,Los Arcos HMO
10GUD,Jalisco,50ARJ,Arcos Milenio GDL
10GUD,Jalisco,50AS4,Poncitaln Donato GDL
10GUD,Jalisco,50AS8,Tlazazalca Guerrero GDL
10GUD,Jalisco,50ASS,Asesores GDL
10GUD,Jalisco,50ATA,Malta GDL
10GUD,Jalisco,50ATN,San Agustin GDL
10GUD,Jalisco,50ATO,Irapuato GDL
10GUD,Jalisco,50ATS,Aztecas GDL
10GUD,Jalisco,50ATW,Ameca II GUD
10GUD,Jalisco,50AU0,Pinguica GDL
10GUD,Jalisco,50AVI,Ocotlan Plaza GDL
10GUD,Jalisco,50AVL,Capilla de Gpe. GDL
10GUD,Jalisco,50AVW,El Quince GDL
10GUD,Jalisco,50AY6,Tepic San Pedro GDL
10GUD,Jalisco,50AZ6,Vistas Tesistan GDL
10GUD,Jalisco,50AZD,Amistad GDL
10GUD,Jalisco,50AZZ,Aranzazu GDL
10GUD,Jalisco,50B0H,Pinos GDL
10GUD,Jalisco,50B0I,Jose Maria Iglesias GDL
